Code,Entity,PredefinedType,Name,Entity_NL,Definition,Definition_NL,Description_NL,ParentClassCode,Uid,Domain
IfcProtectiveDeviceTrippingUnitELECTROMAGNETIC,IfcProtectiveDeviceTrippingUnit,ELECTROMAGNETIC,Electromagnetic,Elektromagnetisch,A tripping unit activated by electromagnetic action.,Een doorslageenheid geactiveerd door elektromagnetische actie.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcProtectiveDeviceTrippingUnit,,IfcElectricalDomain
IfcProtectiveDeviceTrippingUnitELECTRONIC,IfcProtectiveDeviceTrippingUnit,ELECTRONIC,Electronic,Elektronisch,A tripping unit activated by electronic action.,Een doorslageenheid geactiveerd door elektronische actie.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcProtectiveDeviceTrippingUnit,,IfcElectricalDomain
IfcProtectiveDeviceTrippingUnitRESIDUALCURRENT,IfcProtectiveDeviceTrippingUnit,RESIDUALCURRENT,Residualcurrent,Residualcurrent,A tripping unit activated by residual current detection.,Een doorslageenheid geactiveerd door reduale huidige detectie.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcProtectiveDeviceTrippingUnit,,IfcElectricalDomain
IfcProtectiveDeviceTrippingUnitTHERMAL,IfcProtectiveDeviceTrippingUnit,THERMAL,Thermal,Thermisch,A tripping unit activated by thermal action.,Een doorslageenheid geactiveerd door thermische actie.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcProtectiveDeviceTrippingUnit,,IfcElectricalDomain
IfcSolarDeviceSOLARCOLLECTOR,IfcSolarDevice,SOLARCOLLECTOR,Solar Collector,Zonneboiler,"A device that converts solar radiation into thermal energy (heating water, etc.).","Een apparaat dat zonnestraling converteert naar thermische energie (verwarming water, enz.).","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcSolarDevice,,IfcElectricalDomain
IfcSolarDeviceSOLARPANEL,IfcSolarDevice,SOLARPANEL,Solar Panel,Zonnepaneel,A device that converts solar radiation into electric current.,Een apparaat dat zonnestraling omzet naar stroomstroom.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcSolarDevice,,IfcElectricalDomain
IfcSwitchingDeviceCONTACTOR,IfcSwitchingDevice,CONTACTOR,Contact or,Contact opnemen of,An electrical device used to control the flow of power in a circuit on or off.,Een elektrisch apparaat wordt gebruikt om de stroom stroom stroom stroom in of uit te voeren.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcSwitchingDevice,,IfcElectricalDomain
IfcSwitchingDeviceDIMMERSWITCH,IfcSwitchingDevice,DIMMERSWITCH,Dimmer Switch,Dimmer,"A dimmer switch has variable positions, and may adjust electrical power or other setting (according to the switched port type).",Een dimmer schakelaar heeft variabele posities en kan elektriciteit of andere instellingen aanpassen (volgens het geschakelde poorttype).,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcSwitchingDevice,,IfcElectricalDomain
IfcSwitchingDeviceEMERGENCYSTOP,IfcSwitchingDevice,EMERGENCYSTOP,Emergency Stop,Stoppen bij noodgevallen,An emergency stop device acts to remove as quickly as possible any danger that may have arisen unexpectedly.,Een noodstopapparaat neemt zo snel mogelijk alle onverwachtse gevaren weg.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcSwitchingDevice,,IfcElectricalDomain
IfcSwitchingDeviceKEYPAD,IfcSwitchingDevice,KEYPAD,Key Pad,Sleutel Pad,"A set of buttons or switches, each potentially applicable to a different device.","Een set van knoppen of schakelingen, die mogelijk van toepassing zijn op een ander apparaat.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcSwitchingDevice,,IfcElectricalDomain
IfcSwitchingDeviceMOMENTARYSWITCH,IfcSwitchingDevice,MOMENTARYSWITCH,Momentary Switch,Pulsschakelaar,"A momentary switch has no position, and may trigger some action to occur.","Een momentschakelaar heeft geen positie, en kan sommige actie activeren.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcSwitchingDevice,,IfcElectricalDomain
IfcSwitchingDeviceRELAY,IfcSwitchingDevice,RELAY,Relay,verzenden,"A device designed to produce sudden predetermined changes in one or more electric output circuits, when certain conditions are fulfilled in the electric input circuits controlling the device.;definition from IEC 60050 151-13-31.","Een apparaat ontworpen om plotselinge vooraf bepaalde veranderingen te produceren in een of meer elektrische output circuits, wanneer aan bepaalde voorwaarden wordt voldaan in het elektrische invoercircuit dat het apparaat beheert. definitie van IEC 60050 151-13-31.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcSwitchingDevice,,IfcElectricalDomain
IfcSwitchingDeviceSELECTORSWITCH,IfcSwitchingDevice,SELECTORSWITCH,Selector Switch,Kiezer schakelaar,"A selector switch has multiple positions, and may change the source or level of power or other setting (according to the switched port type).",Een selector-schakelaar heeft meerdere posities en kan de bron of niveau van vermogen of andere instelling wijzigen (afhankelijk van het gewisselde poorttype).,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcSwitchingDevice,,IfcElectricalDomain
IfcSwitchingDeviceSTARTER,IfcSwitchingDevice,STARTER,Starter,Beginner,A starter is a switch which in the closed position controls the application of power to an electrical device.,Een starter is een schakelaar die in de gesloten positie de toepassing van stroom op een elektrisch apparaat controleert.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcSwitchingDevice,,IfcElectricalDomain
IfcSwitchingDeviceSTART_AND_STOP_EQUIPMENT,IfcSwitchingDevice,START_AND_STOP_EQUIPMENT,Start and Stop Equipment,Start en stop Uitrusting,A switch for alternatively closing and opening one or more electric circuits.,Een schakelaar om een of meer elektrische circuits te sluiten en te openen.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcSwitchingDevice,,IfcElectricalDomain
IfcSwitchingDeviceSWITCHDISCONNECTOR,IfcSwitchingDevice,SWITCHDISCONNECTOR,Switch Disconnector,Wissel Disconnector,A switch disconnector is a switch which in the open position satisfies the isolating requirements specified for a disconnector.,Een schakelscheidingsschakelaar is een schakelaar die in de open positie aan de isolatienormen voldoet die zijn opgegeven voor een disconnector.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcSwitchingDevice,,IfcElectricalDomain
IfcSwitchingDeviceTOGGLESWITCH,IfcSwitchingDevice,TOGGLESWITCH,Toggle Switch,Schakelaar,"A toggle switch has two positions, and may enable or isolate electrical power or other setting (according to the switched port type).",Een schakelschakelaar heeft twee posities en kan elektrische of andere instellingen in- of isoleren (volgens het geschakelde poorttype).,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcSwitchingDevice,,IfcElectricalDomain
IfcTransformerCHOPPER,IfcTransformer,CHOPPER,Chopper,Chopper,A chopper is an electronic power DC convertor without an intermediate AC link giving a variable output voltage by varying the periods of conduction and non-conduction in an adjustable ratio.,Een chopper is een elektronische DC-convertor zonder een tussenliggende AC link die een variabele uitgangsspanning geeft door de periodes van geleiding en niet-geleiding in een verstelbare verhouding te variëren.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcTransformer,,IfcElectricalDomain
IfcTransformerCOMBINED,IfcTransformer,COMBINED,Combined,Gecombineerd,A transformer that changes different quantities between circuits.,Een transformator die verschillende hoeveelheden tussen circuits wijzigt.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcTransformer,,IfcElectricalDomain
IfcTransformerCURRENT,IfcTransformer,CURRENT,Current,Stroom,A transformer that changes the current between circuits.,Een transformator die de stroom tussen circuits verandert.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcTransformer,,IfcElectricalDomain
IfcTransformerFREQUENCY,IfcTransformer,FREQUENCY,Frequency,Frequentie,A transformer that changes the frequency between circuits.,Een transformator die de frequentie tussen circuits wijzigt.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcTransformer,,IfcElectricalDomain
IfcTransformerINVERTER,IfcTransformer,INVERTER,Inverter,Wisselrichter,A transformer that converts from direct current (DC) to alternating current (AC).,Een transformator die van directe stroom (DC) converteert naar wisselende stroom (AC).,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcTransformer,,IfcElectricalDomain
IfcTransformerRECTIFIER,IfcTransformer,RECTIFIER,Rectifier,Rectifier,A transformer that converts from alternating current (AC) to direct current (DC).,Een transformator die converteert van wisselstroom (AC) naar directe stroom (DC).,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcTransformer,,IfcElectricalDomain
IfcTransformerVOLTAGE,IfcTransformer,VOLTAGE,Voltage,Spanning,A transformer that changes the voltage between circuits.,Een transformator die de spanning tussen circuits verandert.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcTransformer,,IfcElectricalDomain
IfcAirTerminalDIFFUSER,IfcAirTerminal,DIFFUSER,Diffuser,Rooster,An outlet discharging supply air in various directions and planes.,Een uitlaatlucht van luchttoevoer in verschillende richtingen en vliegtuigen.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAirTerminal,,IfcHvacDomain
IfcAirTerminalGRILLE,IfcAirTerminal,GRILLE,Grille,Ventilatierooster,A covering for any area through which air passes.,Een dekking voor elk gebied waar de lucht doorstroomt.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAirTerminal,,IfcHvacDomain
IfcAirTerminalLOUVRE,IfcAirTerminal,LOUVRE,Louvre,Louvre,A rectilinear louvre.,Een rectilineaire lucht.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAirTerminal,,IfcHvacDomain
IfcAirTerminalREGISTER,IfcAirTerminal,REGISTER,Register,Registreren,A grille typically equipped with a damper or control valve.,Een rooster meestal uitgerust met een regelklep of controleklep.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAirTerminal,,IfcHvacDomain
IfcAirTerminalBoxCONSTANTFLOW,IfcAirTerminalBox,CONSTANTFLOW,Constant Flow,Constante Stroom,Terminal box does not include a means to reset the volume automatically to an outside signal such as thermostat.,"Terminalbox bevat geen manier om het volume automatisch terug te zetten naar een buiten signaal, zoals de thermostaat.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAirTerminalBox,,IfcHvacDomain
IfcAirTerminalBoxVARIABLEFLOWPRESSUREDEPENDANT,IfcAirTerminalBox,VARIABLEFLOWPRESSUREDEPENDANT,Variable Flow Pressure Dependant,Variabele stroomdruk afhankelijk,air-flow rate depends on supply pressure.,luchtstroomsnelheid hangt af van de druk op de voorziening.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAirTerminalBox,,IfcHvacDomain
IfcAirTerminalBoxVARIABLEFLOWPRESSUREINDEPENDANT,IfcAirTerminalBox,VARIABLEFLOWPRESSUREINDEPENDANT,Variable Flow Pressure Independant,Variabele stroomdruk afhankelijke,air-flow rate is independent of supply pressure.,De luchtstroom staat los van de druk op de voorziening.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAirTerminalBox,,IfcHvacDomain
IfcAirToAirHeatRecoveryFIXEDPLATECOUNTERFLOWEXCHAN,IfcAirToAirHeatRecovery,FIXEDPLATECOUNTERFLOWEXCHAN,Fixed Plate Counter Flow Exchanger,Vaste plaat Counter Flow Exchanger,"[[Heat]] exchanger with moving parts and alternate layers of plates, separated and sealed from the exhaust and supply air stream passages with primary air entering at secondary air outlet location and exiting at secondary air inlet location.","[[Heat]] wisselt de boosheid uit met bewegende onderdelen en alternatieve lagen platen, gescheiden en geseald van de luchtafvoer en toevoer luchtstroompassages met primaire lucht die binnenkomen op secundaire luchtuitlaatlocatie en verlaten op secundaire luchtaanvoerlocatie.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAirToAirHeatRecovery,,IfcHvacDomain
IfcAirToAirHeatRecoveryFIXEDPLATECROSSFLOWEXCHANGE,IfcAirToAirHeatRecovery,FIXEDPLATECROSSFLOWEXCHANGE,Fixed Plate Cross Flow Exchanger,Vaste plaat Cross Flow Exchanger,"[[Heat]] exchanger with moving parts and alternate layers of plates, separated and sealed from the exhaust and supply air stream passages with secondary air flow in the direction perpendicular to primary air flow.","[[Heat]] wisselt de boosheid uit met bewegende onderdelen en alternatieve lagen platen, gescheiden en geseald van de uitlaat- en toevoerluchtstroompassages met secundaire luchtstroom in de richting die doorloopt tot de primaire luchtstroom.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAirToAirHeatRecovery,,IfcHvacDomain
IfcAirToAirHeatRecoveryFIXEDPLATEPARALLELFLOWEXCHA,IfcAirToAirHeatRecovery,FIXEDPLATEPARALLELFLOWEXCHA,Fixed Plate Parallel Flow Exchanger,Vaste Plaat Parallelle Flow Exchanger,"[[Heat]] exchanger with moving parts and alternate layers of plates, separated and sealed from the exhaust and supply air stream passages with primary air entering at secondary air inlet location and exiting at secondary air outlet location.","[[Heat]] wisselt de boosheid uit met bewegende onderdelen en alternatieve lagen platen, gescheiden en geseald van de luchtafvoer- en uitlaatgasstroompassages met primaire lucht die op secundaire luchtaanvoerlocatie binnenkomen en afsluiten bij secundaire luchtafvoerlocatie.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAirToAirHeatRecovery,,IfcHvacDomain
IfcAirToAirHeatRecoveryHEATPIPE,IfcAirToAirHeatRecovery,HEATPIPE,Heat Pipe,Hitte pijp,A passive energy recovery device with a heat pipe divided into evaporator and condenser sections.,Een passief energiebesparingsapparaat met een warmtepijp verdeeld in verdamping en condenseronderdelen.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAirToAirHeatRecovery,,IfcHvacDomain
IfcAirToAirHeatRecoveryROTARYWHEEL,IfcAirToAirHeatRecovery,ROTARYWHEEL,Rotary Wheel,Draaiend wiel,A heat wheel with a revolving cylinder filled with an air-permeable medium having a large internal surface area.,Een warmtewiel met een draaiende cilinder gevuld met een doordringbaar medium met een groot intern oppervlakte.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAirToAirHeatRecovery,,IfcHvacDomain
IfcAirToAirHeatRecoveryRUNAROUNDCOILLOOP,IfcAirToAirHeatRecovery,RUNAROUNDCOILLOOP,Runaround Coil Loop,Runaround Kogel Lussen,"A typical coil energy recovery loop places extended surface, finned tube water coils in the supply and exhaust airstreams of a building.","Een typische energiebesparende lus plaatst uitgebreide oppervlak, vastgestikte buiswaterspoelen in de toevoer en uitlaatluchtstromen van een gebouw.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAirToAirHeatRecovery,,IfcHvacDomain
IfcAirToAirHeatRecoveryTHERMOSIPHONCOILTYPEHEATEXC,IfcAirToAirHeatRecovery,THERMOSIPHONCOILTYPEHEATEXC,Thermo Siphon Coil Type Heat Exchangers,Thermo Siphon olietype warmtewisselaars,"Sealed systems that consist of an evaporator, a condenser, interconnecting piping, and an intermediate working fluid that is present in both liquid and vapor phases where the evaporator and condensor coils are installed independently in the ducts and are interconnected by the working fluid piping.","Verzegelde systemen die bestaan uit een verdamper, een condenser, aansluitbuizen, en een tussentijds werkend vloeistof die aanwezig is in zowel de fases van vloeibare als dagerstadia waar de verdamper en de condensor spoelen onafhankelijk worden geïnstalleerd in de ducten en zijn verbonden door de werkende vloeistofpijpen.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAirToAirHeatRecovery,,IfcHvacDomain
IfcAirToAirHeatRecoveryTHERMOSIPHONSEALEDTUBEHEATE,IfcAirToAirHeatRecovery,THERMOSIPHONSEALEDTUBEHEATE,Thermo Siphon Sealed Tube Heat Exchangers,Thermo Siphon Gesloten Bui Warmte Exchangers,"Sealed systems that consist of an evaporator, a condenser, interconnecting piping, and an intermediate working fluid that is present in both liquid and vapor phases where the evaporator and the condenser are usually at opposite ends of a bundle of straight, individual thermosiphon tubes and the exhaust and supply ducts are adjacent to each other.","Verzegelde systemen die bestaan uit een verdamper, een condenser, aansluitbuizen, en een tussentijds werkende vloeistof die aanwezig is in zowel de fases van vloeibare als dagerstadia waar de verdamper en de condensor gewoonlijk aan het eind van een bundel recht staan, individuele thermosiphon buizen en de uitlaatgangen en toevoerbuizen liggen aan elkaar grenst.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAirToAirHeatRecovery,,IfcHvacDomain
IfcAirToAirHeatRecoveryTWINTOWERENTHALPYRECOVERYLO,IfcAirToAirHeatRecovery,TWINTOWERENTHALPYRECOVERYLO,Twin Tower Enthalpy Recovery Loops,Dubbel toren Enthalpy Herstel Lussen,"An air-to-liquid, liquid-to-air enthalpy recovery system with a sorbent liquid circulates continuously between supply and exhaust airstreams, alternately contacting both airstreams directly in contactor towers.","Een lucht-to-liquide, liquide en enthalpy herstelsysteem met een sorbine circuleert continu tussen toevoer en uitlaatluchtstromen, waarbij beide luchtstromen direct in contacttorens worden benaderd.","Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcAirToAirHeatRecovery,,IfcHvacDomain
IfcBoilerSTEAM,IfcBoiler,STEAM,Steam,Stoom,[[Steam]] boiler.,[[Steam]] cv-ketel.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcBoiler,,IfcHvacDomain
IfcBoilerWATER,IfcBoiler,WATER,Water,Boiler,[[Water]] boiler.,[[Water]] cv-ketel.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcBoiler,,IfcHvacDomain
IfcChillerAIRCOOLED,IfcChiller,AIRCOOLED,Air Cooled,Lucht gekoeld,Air cooled chiller.,Lucht gekoelde chiller.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcChiller,,IfcHvacDomain
IfcChillerHEATRECOVERY,IfcChiller,HEATRECOVERY,Heat Recovery,Warmte herstel,[[Heat]] recovery chiller.,[[Heat]] herstel chiller.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcChiller,,IfcHvacDomain
IfcChillerWATERCOOLED,IfcChiller,WATERCOOLED,Water Cooled,Water Koeling,[[Water]] cooled chiller.,[[Water]] gekoelde chiller.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcChiller,,IfcHvacDomain
IfcCoilDXCOOLINGCOIL,IfcCoil,DXCOOLINGCOIL,Dxcooling Coil,Gooiende Koel,Cooling coil using a refrigerant to cool the air stream directly.,Koelbare spoel gebruik een koelmiddel om de lucht direct te koelen.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCoil,,IfcHvacDomain
IfcCoilELECTRICHEATINGCOIL,IfcCoil,ELECTRICHEATINGCOIL,Electric Heating Coil,Elektrische verwarming Koel,Heating coil using electricity as a heating source.,Verwarmingsbatterij met elektriciteit als verwarmingsbron.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCoil,,IfcHvacDomain
IfcCoilGASHEATINGCOIL,IfcCoil,GASHEATINGCOIL,Gas Heating Coil,Gas Verwarming Koel,Heating coil using gas as a heating source.,Verwarmingsbatterij met gas als verwarmingsbron.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCoil,,IfcHvacDomain
IfcCoilHYDRONICCOIL,IfcCoil,HYDRONICCOIL,Hydronic Coil,Hydronische Kogel,Cooling or Heating coil that uses a hydronic fluid as a cooling or heating source.,Koeling of verwarmingsspoel gebruikt een hydronische vloeistof als koel- of verwarmingsbron.,"Technische opmerking: Omdat deze klasse een 'Vooraf gedefinieerd Type' is in IFC, wat een specialisatie van de bovenliggende klasse betekent, in IFC moet het worden vertegenwoordigd door de bovenliggende klasse, met alle relevante eigenschappen en kenmerken.",IfcCoil,,IfcHvacDomain
